EE UID,Client ID,Destination,first_datenum,last_datenum,first_m,last_m,first_year,last_year,diffdays,Client Age at Entry,Client Gender,Client Gender,Client Primary Race,Client Ethnicity,Client Veteran Status,Length of Stay in Previous Place(1934),Housing Status(2703),Prior Living Situation(43)
687970,185069,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2016-05-25,8,5.0,2015,2016.0,284.0,42.0,Female,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One week or more, but less than one month",Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
687973,399028,"Rental by client, with other ongoing housing subsidy (HUD)",2015-08-15,2016-04-20,8,4.0,2015,2016.0,249.0,51.0,Female,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)"
687974,361024,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-10-08,8,10.0,2015,2015.0,54.0,50.0,Female,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"90 days or more, but less than one year",Stably housed (HUD),"Rental by client, with other ongoing housing subsidy (HUD)"
687975,324453,"Staying or living with friends, permanent tenure (HUD)",2015-08-15,2015-09-03,8,9.0,2015,2015.0,19.0,45.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One month or more, but less than 90 days",Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
687982,395548,Permanent housing (other than RRH) for formerly homeless persons (HUD),2015-08-15,2015-09-03,8,9.0,2015,2015.0,19.0,55.0,Female,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)"
688348,393111,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-12-07,8,12.0,2015,2015.0,114.0,49.0,Male,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
688349,379956,Hospital or other residential non-psychiatric medical facility (HUD),2015-08-15,2015-10-03,8,10.0,2015,2015.0,49.0,50.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One month or more, but less than 90 days",Category 1 - Homeless (HUD),Transitional housing for homeless persons (including homeless youth) (HUD)
688350,397202,"Rental by client, no ongoing housing subsidy (HUD)",2015-08-15,2015-10-31,8,10.0,2015,2015.0,77.0,26.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"90 days or more, but less than one year",Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)"
688352,251488,"Rental by client, no ongoing housing subsidy (HUD)",2015-08-15,2015-11-06,8,11.0,2015,2015.0,83.0,49.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"90 days or more, but less than one year",Stably housed (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
688353,395541,"Rental by client, no ongoing housing subsidy (HUD)",2015-08-15,2016-02-04,8,2.0,2015,2016.0,173.0,61.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),Two to six nights,Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
688357,381870,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-09-25,8,9.0,2015,2015.0,41.0,53.0,Male,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),"Rental by client, no ongoing housing subsidy (HUD)"
688359,392383,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-08-23,8,8.0,2015,2015.0,8.0,53.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),Two to six nights,Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
688361,318262,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-08-31,8,8.0,2015,2015.0,16.0,36.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One month or more, but less than 90 days",Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
688362,381470,"Staying or living with family, permanent tenure (HUD)",2015-08-15,2015-08-18,8,8.0,2015,2015.0,3.0,58.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)"
688363,309651,"Rental by client, no ongoing housing subsidy (HUD)",2015-08-15,2015-10-07,8,10.0,2015,2015.0,53.0,26.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),Two to six nights,Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
688365,333120,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-09-28,8,9.0,2015,2015.0,44.0,37.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"90 days or more, but less than one year",Category 1 - Homeless (HUD),"Jail, prison or juvenile detention facility (HUD)"
688366,373187,"Rental by client, with other ongoing housing subsidy (HUD)",2015-08-15,2016-04-25,8,4.0,2015,2016.0,254.0,51.0,Female,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"90 days or more, but less than one year",Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
688367,362567,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-08-20,8,8.0,2015,2015.0,5.0,45.0,Female,Female,White (HUD),Hispanic/Latino (HUD),No (HUD),"90 days or more, but less than one year",Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
688368,158414,"Rental by client, no ongoing housing subsidy (HUD)",2015-08-15,2016-04-20,8,4.0,2015,2016.0,249.0,58.0,Female,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
688369,401630,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-09-04,8,9.0,2015,2015.0,20.0,23.0,Female,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
688370,401763,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-08-20,8,8.0,2015,2015.0,5.0,53.0,Female,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One night or less,Category 1 - Homeless (HUD),Hotel or motel paid for without emergency shelter voucher (HUD)
688371,314853,Hospital or other residential non-psychiatric medical facility (HUD),2015-08-15,2015-08-25,8,8.0,2015,2015.0,10.0,54.0,Female,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
688372,400077,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-08-29,8,8.0,2015,2015.0,14.0,42.0,Female,Female,White (HUD),Data not collected (HUD),No (HUD),"One month or more, but less than 90 days",Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
688378,386115,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-10-05,8,10.0,2015,2015.0,51.0,52.0,Female,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
688395,399904,"Rental by client, no ongoing housing subsidy (HUD)",2015-08-15,2016-06-10,8,6.0,2015,2016.0,300.0,58.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)"
688396,394031,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-08-30,8,8.0,2015,2015.0,15.0,41.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"90 days or more, but less than one year",Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
688397,402258,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-08-18,8,8.0,2015,2015.0,3.0,40.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One week or more, but less than one month",Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
688398,403050,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-08-24,8,8.0,2015,2015.0,9.0,23.0,Male,Male,American Indian or Alaska Native (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"90 days or more, but less than one year",Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
688403,383149,"Rental by client, no ongoing housing subsidy (HUD)",2015-08-15,2015-08-18,8,8.0,2015,2015.0,3.0,47.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
688405,387590,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-09-30,8,9.0,2015,2015.0,46.0,38.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),Two to six nights,Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
688406,403483,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-08-20,8,8.0,2015,2015.0,5.0,47.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),,,
688408,224787,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-08-29,8,8.0,2015,2015.0,14.0,65.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One week or more, but less than one month",Category 1 - Homeless (HUD),"Rental by client, no ongoing housing subsidy (HUD)"
688410,225552,"Rental by client, with other ongoing housing subsidy (HUD)",2015-08-15,2015-12-14,8,12.0,2015,2015.0,121.0,51.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One month or more, but less than 90 days",Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)"
688413,392386,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-10-06,8,10.0,2015,2015.0,52.0,61.0,Male,Male,American Indian or Alaska Native (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One night or less,Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
688414,262238,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-08-25,8,8.0,2015,2015.0,10.0,19.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One night or less,Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
688415,384147,"Rental by client, no ongoing housing subsidy (HUD)",2015-08-15,2015-09-21,8,9.0,2015,2015.0,37.0,59.0,Male,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),"Rental by client, no ongoing housing subsidy (HUD)"
688416,403049,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-09-27,8,9.0,2015,2015.0,43.0,63.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),,,
688417,361597,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2016-04-07,8,4.0,2015,2016.0,236.0,47.0,Male,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),Two to six nights,Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)"
688418,365130,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-08-16,8,8.0,2015,2015.0,1.0,23.0,Male,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One week or more, but less than one month",Category 1 - Homeless (HUD),Residential project or halfway house with no homeless criteria (HUD)
688419,382672,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-11-13,8,11.0,2015,2015.0,90.0,55.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One week or more, but less than one month",Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
688420,397312,Hospital or other residential non-psychiatric medical facility (HUD),2015-08-15,2015-09-27,8,9.0,2015,2015.0,43.0,42.0,Male,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One night or less,Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
688427,156978,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-09-01,8,9.0,2015,2015.0,17.0,34.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
688496,398931,"Staying or living with friends, permanent tenure (HUD)",2015-08-15,2015-08-27,8,8.0,2015,2015.0,12.0,51.0,Female,Female,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)"
688497,399459,"Staying or living with friends, temporary tenure (HUD)",2015-08-19,2015-12-24,8,12.0,2015,2015.0,127.0,53.0,Female,Female,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"90 days or more, but less than one year",Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
688498,384776,"Rental by client, no ongoing housing subsidy (HUD)",2015-08-15,2015-08-21,8,8.0,2015,2015.0,6.0,53.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"90 days or more, but less than one year",Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
688502,333631,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-08-16,8,8.0,2015,2015.0,1.0,53.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One week or more, but less than one month",Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
688503,166457,"Staying or living with friends, permanent tenure (HUD)",2015-08-15,2015-10-15,8,10.0,2015,2015.0,61.0,52.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One week or more, but less than one month",Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
688505,219392,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-08-31,8,8.0,2015,2015.0,16.0,29.0,Male,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),Two to six nights,Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
688506,397427,"Rental by client, with VASH housing subsidy (HUD)",2015-08-15,2015-09-15,8,9.0,2015,2015.0,31.0,60.0,Male,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)"
688532,187276,"Rental by client, no ongoing housing subsidy (HUD)",2015-08-15,2015-08-26,8,8.0,2015,2015.0,11.0,51.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"90 days or more, but less than one year",Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
688561,217836,"Rental by client, no ongoing housing subsidy (HUD)",2015-08-15,2015-12-12,8,12.0,2015,2015.0,119.0,55.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
688562,190759,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-09-04,8,9.0,2015,2015.0,20.0,47.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"90 days or more, but less than one year",Category 1 - Homeless (HUD),"Jail, prison or juvenile detention facility (HUD)"
688564,397646,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-09-11,8,9.0,2015,2015.0,27.0,58.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)"
688566,402256,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-11-20,8,11.0,2015,2015.0,97.0,37.0,Male,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One week or more, but less than one month",Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
688569,296887,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-12-21,8,12.0,2015,2015.0,128.0,61.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)"
688570,381763,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-09-01,8,9.0,2015,2015.0,17.0,35.0,Male,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD),Two to six nights,Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
688571,195489,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-12-04,8,12.0,2015,2015.0,111.0,41.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"90 days or more, but less than one year",Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
688572,143061,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-09-19,8,9.0,2015,2015.0,35.0,60.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD),One year or longer (HUD),,Substance abuse treatment facility or detox center (HUD)
688721,399250,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-08-19,8,8.0,2015,2015.0,4.0,30.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One month or more, but less than 90 days",Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)"
688722,406857,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-09-25,8,9.0,2015,2015.0,41.0,38.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),Two to six nights,Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
688723,181734,Psychiatric hospital or other psychiatric facility (HUD),2015-08-15,2015-09-02,8,9.0,2015,2015.0,18.0,52.0,Male,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),,,
688724,162076,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-09-12,8,9.0,2015,2015.0,28.0,43.0,Male,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One year or longer (HUD),Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
688726,208663,"Rental by client, no ongoing housing subsidy (HUD)",2015-08-15,2016-03-04,8,3.0,2015,2016.0,202.0,25.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One month or more, but less than 90 days",Category 1 - Homeless (HUD),Place not meant for habitation (HUD)
688727,402257,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-09-27,8,9.0,2015,2015.0,43.0,22.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),One night or less,Category 1 - Homeless (HUD),"Staying or living in a friend's room, apartment or house (HUD)"
688728,407754,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-08-31,8,8.0,2015,2015.0,16.0,30.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"90 days or more, but less than one year",Category 1 - Homeless (HUD),Transitional housing for homeless persons (including homeless youth) (HUD)
688729,407001,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-10-21,8,10.0,2015,2015.0,67.0,58.0,Male,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),Yes (HUD),"One week or more, but less than one month",Category 1 - Homeless (HUD),"Staying or living in a family member's room, apartment or house (HUD)"
688731,405094,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-09-02,8,9.0,2015,2015.0,18.0,52.0,Male,Male,White (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"90 days or more, but less than one year",Category 1 - Homeless (HUD),"Rental by client, no ongoing housing subsidy (HUD)"
688733,319129,"Staying or living with family, permanent tenure (HUD)",2015-08-15,2016-03-03,8,3.0,2015,2016.0,201.0,51.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"90 days or more, but less than one year",Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
688734,406576,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-08-18,8,8.0,2015,2015.0,3.0,44.0,Male,Male,White (HUD),Hispanic/Latino (HUD),No (HUD),"One month or more, but less than 90 days",Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
688735,330427,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-08-24,8,8.0,2015,2015.0,9.0,68.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One week or more, but less than one month",Category 1 - Homeless (HUD),Hotel or motel paid for without emergency shelter voucher (HUD)
688737,10107,"Staying or living with friends, temporary tenure (HUD)",2015-08-15,2015-08-21,8,8.0,2015,2015.0,6.0,59.0,Male,Male,Black or African American (HUD),Non-Hispanic/Non-Latino (HUD),No (HUD),"One month or more, but less than 90 days",Category 1 - Homeless (HUD),"Emergency shelter, incl. hotel/motel paid for w/ ES voucher, or RHY-funded Host Home shelter (HUD)"
